Rwanda;-2.0;30.0;10186000
Yemen;15.5;47.5;23013000
Iraq;33.0;44.0;28221000
Iran;32.0;53.0;65875000
Tanzania;-6.0;35.0;40213000
Syria;35.0;38.0;19747000
Kenya;1.0;38.0;37953000
Congo [DRC];0.0;25.0;60085004
Uganda;2.0;33.0;31367000
Turkey;39.0;35.0;71892000
Ethiopia;8.0;38.0;78254000
Egypt;27.0;30.0;81713000
Sudan;15.0;30.0;40218000
Greece;39.0;22.0;11000000
Ukraine;49.0;32.0;45994000
Poland;52.0;20.0;38500000
Romania;46.0;25.0;22246000
Zimbabwe;-19.0;29.0;12382000
Zambia;-15.0;30.0;11669000
Malawi;-13.5;34.0;13931000
South Africa;-30.0;26.0;49000000
Mozambique;-18.25;35.0;21284000
Madagascar;-20.0;47.0;20042000
Afghanistan;33.0;66.0;32738000
Pakistan;30.0;70.0;167762000
Bangladesh;24.0;90.0;153546000
Sri Lanka;7.0;81.0;21128000
India;20.0;77.0;1147995000
Nepal;28.0;84.0;29519000
Myanmar [Burma];22.0;98.0;47758000
Uzbekistan;41.0;64.0;28268000
Kazakhstan;48.0;68.0;15340000
Vietnam;16.16667;107.83333;86116000
Thailand;15.0;100.0;65493000
Indonesia;-5.0;120.0;237512000
Taiwan;24.0;121.0;22894384
Malaysia;2.5;112.5;25259000
China;35.0;105.0;1330044000
Cambodia;13.0;105.0;14241000
South Korea;37.0;127.5;48422644
Japan;35.68536;139.75309;127288000
North Korea;40.0;127.0;22912177
Russia;60.0;100.0;140702000
Cameroon;6.0;12.0;18467000
Senegal;14.0;-14.0;12853000
Portugal;39.5;-8.0;10676000
Ivory Coast;8.0;-5.0;18373000
Ghana;8.0;-2.0;23382000
Nigeria;10.0;8.0;154000000
Burkina Faso;13.0;-2.0;14761000
Guinea;11.0;-10.0;10211000
Chad;15.0;19.0;10111000
Niger;16.0;8.0;13272000
Mali;17.0;-4.0;12324000
Tunisia;34.0;9.0;10378000
Spain;40.0;-4.0;40491000
Morocco;32.0;-5.0;34272000
Algeria;28.0;3.0;33739000
United Kingdom;54.0;-4.0;60943000
Netherlands;52.5;5.75;16645000
Belgium;50.83333;4.0;10403000
Germany;51.5;10.5;82369000
France;46.0;2.0;64094000
Italy;42.83333;12.83333;58145000
Angola;-12.5;18.5;12531000
Brazil;-10.0;-55.0;191908000
Cuba;22.0;-79.5;11423000
Guatemala;15.5;-90.25;13002000
Venezuela;8.0;-66.0;26414000
Ecuador;-2.0;-77.5;13927000
Colombia;4.0;-72.0;45013000
Argentina;-34.0;-64.0;40677000
Chile;-30.0;-71.0;16432000
Peru;-10.0;-76.0;29041000
Mexico;23.0;-102.0;109955000
Canada;60.0;-96.0;33679000
Serbia;44.81892;20.45998;10159000
Philippines;13.0;122.0;92681000
Saudi Arabia;25.0;45.0;28161000
Australia;-25.0;135.0;20600000
United States;39.76;-98.5;303824000
Czech Republic;49.75;15.0;10476000
Somalia;6.0;48.0;9379000
Cyprus;35.0;33.0;792000
Armenia;40.0;45.0;2968000
Djibouti;11.5;42.5;506000
Central African Republic;7.0;21.0;4434000
Seychelles;-4.58333;55.66667;82000
Jordan;31.0;36.0;6198000
Lebanon;33.83333;35.83333;3971000
Kuwait;29.5;47.75;2596000
Oman;21.0;57.0;3309000
Qatar;25.5;51.25;928000
Bahrain;26.0;50.5;718000
United Arab Emirates;24.0;54.0;4621000
Israel;31.5;34.75;6500000
Eritrea;15.0;39.0;5028000
Burundi;-3.5;30.0;8691000
Estonia;59.0;26.0;1307000
Latvia;57.0;25.0;2245000
Azerbaijan;40.5;47.5;8177000
Lithuania;56.0;24.0;3565000
Georgia;41.99998;43.4999;4630000
Moldova;47.0;29.0;4324000
Belarus;53.0;28.0;9685000
Finland;64.0;26.0;5244000
Macedonia;41.83333;22.0;2061000
Hungary;47.0;20.0;9930000
Bulgaria;43.0;25.0;7262000
Albania;41.0;20.0;3619000
Kosovo;42.58333;21.0;1800000
Comoros;-12.16667;44.25;731000
Lesotho;-29.5;28.25;2128000
Botswana;-22.0;24.0;1842000
Mauritius;-20.3;57.58333;1260000
Swaziland;-26.5;31.5;1128000
Turkmenistan;40.0;60.0;5179000
Tajikistan;39.0;71.0;7211000
Bhutan;27.5;90.5;2376000
Maldives;3.2;73.0;379000
Kyrgyzstan;41.0;75.0;5356000
Laos;18.0;105.0;6677000
Brunei;4.5;114.66667;381000
Singapore;1.36667;103.8;4608000
East Timor;-8.83333;125.75;1107000
Mongolia;46.0;105.0;2996000
Papua New Guinea;-6.0;147.0;5921000
Solomon Islands;-8.0;159.0;581000
Tuvalu;-8.0;178.0;12000
Nauru;-0.53333;166.91667;13000
Vanuatu;-16.0;167.0;215000
New Zealand;-42.0;174.0;4154000
Fiji;-18.0;178.0;931000
Libya;25.0;17.0;6173000
Congo [Republic];-1.0;15.0;3039126
Liberia;6.5;-9.5;3334000
Equatorial Guinea;2.0;10.0;1014999
Togo;8.0;1.16667;5858000
Guinea-Bissau;12.0;-15.0;1503000
Mauritania;20.0;-12.0;3364000
Benin;9.5;2.25;8294000
Gabon;-1.0;11.75;1484000
Sierra Leone;8.5;-11.5;6286000
São Tomé and Príncipe;1.0;7.0;205000
Gambia;13.5;-15.5;1593256
Malta;35.91667;14.43333;403000
Denmark;56.0;10.0;5484000
Iceland;65.0;-18.0;304000
Switzerland;47.00016;8.01427;7581000
Sweden;62.0;15.0;9045000
Austria;47.33333;13.33333;8205000
Luxembourg;49.75;6.16667;486000
Ireland;53.0;-8.0;4156000
Monaco;43.73141;7.41903;32965
Andorra;42.5;1.5;84000
Liechtenstein;47.16667;9.53333;35000
Slovakia;48.66667;19.5;5455000
Norway;62.0;10.0;4813000
Vatican City;41.90225;12.4533;921
San Marino;43.93333;12.41667;29000
Slovenia;46.25;15.16667;2007000
Montenegro;42.5;19.3;678000
Croatia;45.16667;15.5;4491000
Bosnia and Herzegovina;44.25;17.83333;4590000
Namibia;-22.0;17.0;2063000
Barbados;13.16667;-59.53333;281000
Cape Verde;16.0;-24.0;426000
Guyana;5.0;-59.0;770000
Suriname;4.0;-56.0;492829
Paraguay;-22.99333;-57.99639;6831000
Uruguay;-33.0;-56.0;3477000
Jamaica;18.25;-77.5;2801000
Dominican Republic;19.0;-70.66667;9507000
Bahamas;24.0;-76.0;301790
Trinidad and Tobago;11.0;-61.0;1047000
Saint Kitts and Nevis;17.33333;-62.75;39000
Dominica;15.5;-61.33333;72000
Antigua and Barbuda;17.05;-61.8;69000
Saint Lucia;13.88333;-60.96667;172000
Saint Vincent and the Grenadines;13.08333;-61.2;117534
Grenada;12.11667;-61.66667;100000
Belize;17.25;-88.75;301000
El Salvador;13.83333;-88.91667;7066000
Honduras;15.0;-86.5;7639000
Nicaragua;13.0;-85.0;5780000
Costa Rica;10.0;-84.0;4191000
Panama;9.0;-80.0;3292000
Haiti;19.0;-72.41667;8924000
Bolivia;-17.0;-65.0;9247000
Kiribati;-5.0;-170.0;110000
Tonga;-20.0;-175.0;118000
